section_size,eccentricity,length,DCR,median,log_standard_deviation
W24X279,0.0,1,0.75,2122.6881471866104,0.0257621397232197
W24X279,0.0,1,0.5,-,-
W24X279,0.0,1,0.25,-,-
W24X279,0.0,1,0.15,-,-
W24X279,0.0,1,0.05,-,-
W14X550,0.0,1,0.95,2113.338694549849,0.40512175669844963
W14X550,0.0,1,0.85,-,-
W14X550,0.0,1,0.75,-,-
W14X550,0.0,1,0.5,-,-
W14X550,0.0,1,0.25,-,-
W14X550,0.0,1,0.15,-,-
W14X550,0.0,1,0.05,-,-
W33X169,0.0,1,0.95,521.9475732902617,0.6365036933528812
W33X169,0.0,1,0.85,1797.6275348473625,0.3508713743007966
W33X169,0.0,1,0.75,2633.444343751606,0.31843540952825594
W33X169,0.0,1,0.5,-,-
W33X169,0.0,1,0.25,-,-
W33X169,0.0,1,0.15,-,-
W33X169,0.0,1,0.05,-,-
W30X191,0.0,1,0.95,523.981764633109,0.6332222466343469
W30X191,0.0,1,0.85,1800.2400748695939,0.35150112194452665
W30X191,0.0,1,0.75,2633.4443400713008,0.318435408294823
W30X191,0.0,1,0.5,-,-
W30X191,0.0,1,0.25,-,-
W30X191,0.0,1,0.15,-,-
W30X191,0.0,1,0.05,-,-
W36X150,0.0,1,0.95,365.22811336406136,0.8023601421090547
W36X150,0.0,1,0.85,1529.3990809572304,0.32786499654892015
W36X150,0.0,1,0.75,2382.192847478739,0.35175216332849335
W36X150,0.0,1,0.5,-,-
W36X150,0.0,1,0.25,-,-
W36X150,0.0,1,0.15,-,-
W36X150,0.0,1,0.05,-,-
W27X217,0.0,1,0.95,714.6447729854868,0.5343398071870762
W27X217,0.0,1,0.85,2190.6594140440275,0.36023699257906955
W27X217,0.0,1,0.75,2586.734021273976,0.19872806858220982
W27X217,0.0,1,0.5,-,-
W27X217,0.0,1,0.25,-,-
W27X217,0.0,1,0.15,-,-
W27X217,0.0,1,0.05,-,-
W24X250,0.0,1,0.95,980.7112067146559,0.46661819998491966
W24X250,0.0,1,0.85,2507.3883627775576,0.3109941007230375
W24X250,0.0,1,0.75,3248.30409396499,0.2141983144281032
W24X250,0.0,1,0.5,-,-
W24X250,0.0,1,0.25,-,-
W24X250,0.0,1,0.15,-,-
W24X250,0.0,1,0.05,-,-
W30X173,0.0,1,0.95,441.52191434115656,0.685524646469784
W30X173,0.0,1,0.85,1638.1042318297064,0.3402860036801466
W30X173,0.0,1,0.75,2430.0488940737378,0.31294785768405237
W30X173,0.0,1,0.5,-,-
W30X173,0.0,1,0.25,-,-
W30X173,0.0,1,0.15,-,-
W30X173,0.0,1,0.05,-,-
W14X500,0.0,1,0.95,1928.950117118782,0.40745960738399717
W14X500,0.0,1,0.85,-,-
W14X500,0.0,1,0.75,-,-
W14X500,0.0,1,0.5,-,-
W14X500,0.0,1,0.25,-,-
W14X500,0.0,1,0.15,-,-
W14X500,0.0,1,0.05,-,-
W33X152,0.0,1,0.95,439.5755226743762,0.677808121014708
W33X152,0.0,1,0.85,1626.5508692791198,0.33964180269128
W33X152,0.0,1,0.75,2378.8101997128206,0.29591797401965647
W33X152,0.0,1,0.5,-,-
W33X152,0.0,1,0.25,-,-
W33X152,0.0,1,0.15,-,-
W33X152,0.0,1,0.05,-,-
W27X194,0.0,1,0.95,603.1163484563003,0.5944631980259185
W27X194,0.0,1,0.85,1987.9072633934934,0.3654275959086481
W27X194,0.0,1,0.75,2771.4429586399715,0.29523556368483495
W27X194,0.0,1,0.5,-,-
W27X194,0.0,1,0.25,-,-
W27X194,0.0,1,0.15,-,-
W27X194,0.0,1,0.05,-,-
W24X229,0.0,1,0.95,881.3579439180276,0.5049291749119124
W24X229,0.0,1,0.85,2401.6343670689507,0.3369393670447193
W24X229,0.0,1,0.75,2901.8057904843695,0.2019241026609324
W24X229,0.0,1,0.5,-,-
W24X229,0.0,1,0.25,-,-
W24X229,0.0,1,0.15,-,-
W24X229,0.0,1,0.05,-,-
W33X141,0.0,1,0.95,356.9428525363722,0.806393608892792
W33X141,0.0,1,0.85,1526.969645590126,0.333765889715874
W33X141,0.0,1,0.75,2349.2618410894397,0.3432979865100106
W33X141,0.0,1,0.5,-,-
W33X141,0.0,1,0.25,-,-
W33X141,0.0,1,0.15,-,-
W33X141,0.0,1,0.05,-,-
W14X455,0.0,1,0.95,1769.0182245608344,0.40435861442137466
W14X455,0.0,1,0.85,2122.6881471866104,0.0257621397232197
W14X455,0.0,1,0.75,-,-
W14X455,0.0,1,0.5,-,-
W14X455,0.0,1,0.25,-,-
W14X455,0.0,1,0.15,-,-
W14X455,0.0,1,0.05,-,-
W27X178,0.0,1,0.95,534.0045376989917,0.6224435200651008
W27X178,0.0,1,0.85,1821.3761550136153,0.352655119125697
W27X178,0.0,1,0.75,2737.559261794597,0.3365774075245204
W27X178,0.0,1,0.5,-,-
W27X178,0.0,1,0.25,-,-
W27X178,0.0,1,0.15,-,-
W27X178,0.0,1,0.05,-,-
W18X311,0.0,1,0.95,1467.5592871263148,0.40710853002759717
W18X311,0.0,1,0.85,3224.8429050230566,0.2574147276935264
W18X311,0.0,1,0.75,-,-
W18X311,0.0,1,0.5,-,-
W18X311,0.0,1,0.25,-,-
W18X311,0.0,1,0.15,-,-
W18X311,0.0,1,0.05,-,-
W24X207,0.0,1,0.95,770.3686298673142,0.5213190625544929
W24X207,0.0,1,0.85,2272.0958283766718,0.360768881307759
W24X207,0.0,1,0.75,2570.3770753277627,0.18214424671300483
W24X207,0.0,1,0.5,-,-
W24X207,0.0,1,0.25,-,-
W24X207,0.0,1,0.15,-,-
W24X207,0.0,1,0.05,-,-
W33X130,0.0,1,0.95,299.12759297939016,0.8874381022736411
W33X130,0.0,1,0.85,1412.583151718542,0.3454720205792736
W33X130,0.0,1,0.75,2222.824347817882,0.3530484182890136
W33X130,0.0,1,0.5,2122.6881471866104,0.0257621397232197
W33X130,0.0,1,0.25,-,-
W33X130,0.0,1,0.15,-,-
W33X130,0.0,1,0.05,-,-
W30X148,0.0,1,0.95,490.39060564588254,0.6506362111552109
W30X148,0.0,1,0.85,1743.4973840491202,0.3585005839545873
W30X148,0.0,1,0.75,2501.03822060292,0.29100724812175055
W30X148,0.0,1,0.5,-,-
W30X148,0.0,1,0.25,-,-
W30X148,0.0,1,0.15,-,-
W30X148,0.0,1,0.05,-,-
W14X426,0.0,1,0.95,1647.2916044287033,0.4011729302366297
W14X426,0.0,1,0.85,2644.9280126675167,0.13790517621378617
W14X426,0.0,1,0.75,-,-
W14X426,0.0,1,0.5,-,-
W14X426,0.0,1,0.25,-,-
W14X426,0.0,1,0.15,-,-
W14X426,0.0,1,0.05,-,-
W27X161,0.0,1,0.95,450.2031125949593,0.6886715142471671
W27X161,0.0,1,0.85,1656.9625018289144,0.33299202007895295
W27X161,0.0,1,0.75,2441.3787244082373,0.31015930407448467
W27X161,0.0,1,0.5,-,-
W27X161,0.0,1,0.25,-,-
W27X161,0.0,1,0.15,-,-
W27X161,0.0,1,0.05,-,-
W24X192,0.0,1,0.95,692.1572905751442,0.5523636753062969
W24X192,0.0,1,0.85,2143.308488557317,0.3754739468569779
W24X192,0.0,1,0.75,2677.9090126590527,0.23786548154431061
W24X192,0.0,1,0.5,-,-
W24X192,0.0,1,0.25,-,-
W24X192,0.0,1,0.15,-,-
W24X192,0.0,1,0.05,-,-
W18X283,0.0,1,0.95,1330.5479486724164,0.40404106571994763
W18X283,0.0,1,0.85,2655.9025792850985,0.20452115845975616
W18X283,0.0,1,0.75,-,-
W18X283,0.0,1,0.5,-,-
W18X283,0.0,1,0.25,-,-
W18X283,0.0,1,0.15,-,-
W18X283,0.0,1,0.05,-,-
W14X398,0.0,1,0.95,1544.4037318841342,0.3933899767221739
W14X398,0.0,1,0.85,3363.932347928724,0.2629091841133783
W14X398,0.0,1,0.75,-,-
W14X398,0.0,1,0.5,-,-
W14X398,0.0,1,0.25,-,-
W14X398,0.0,1,0.15,-,-
W14X398,0.0,1,0.05,-,-
W30X132,0.0,1,0.95,387.58251496694027,0.7618520442866413
W30X132,0.0,1,0.85,1554.8271238788882,0.33243429792590756
W30X132,0.0,1,0.75,2392.4831404316324,0.338327734279779
